C904|mmbiz.qpic.cn/mmbiz_png/nRLmxk0uda*
C161|mmbiz.qpic.cn/mmbiz_png/Ia7H9cez4N*
C162|mmbiz.qpic.cn/mmbiz_png/kIqoSzicdn*
C163|mmbiz.qpic.cn/mmbiz_png/rR2GiclCjC*
C179|login.jh.duoku.com*
C180|pay.jh.duoku.com*
C181|api-fml.gzhemera.com/game.php/Api/client/report_login/*
C182|sdkapi00.sdk.quicksdk.net/v1/order/orderpay*
C183|120.79.212.115:5100/login*
C184|118.89.43.49:4005/sign*
C185|api.union.easygamex.com*
C186|g.linnyou.com/api/getPlatformUid*
C187|g.linnyou.com/Getorder/getOrder*
C188|api.91duobaoyu.com
C192|inf-prdapi.wesure.cn
C193|dsp3.rxy.52hjwh.com
C194|reg.ryapps.com/payserver/fs/service
G108|*sdk-login.cocowan.cn*
G128|*service.1sdk.cn/fs/order*
C200|*service.95303.com*
C203|syjzbm.com
C204|version.hc.game.yhres.cn:8000/conf/android/config.conf*
C205|nsdk.yhres.cn:4004/sign*
C206|hmlzfcenter.hnputihd.com/hhsy/api/*
C207|cls.ug11.youyannet.com/ayh/*
C208|api.shenyoutx.com/Api/Common/FusionLogin*
C209|api.shenyoutx.com/Api/Member/FusionPay*
C211|authorize.aidalan.com
G344|*smsy-r.ycgame.com*
C220|wapapi.zhongmin.cn
C221|newm.baigebao.com*
A440|*mmbiz.qpic.cn/mmbiz_png/9HhMksUads*
A441|*mmbiz.qpic.cn/mmbiz/rjSabjVZSh*
A728|*woa.bianfeng.com*
A743|*p10445-holo-cdn.ejoy.com*
A746|*47.107.25.210:8080*
A756|*download2.ios.51fytx.com*
G94|*cdn.feidou.com*
G102|*m-qyz.feidou.com*
G120|*weunitgame.com*
C223|lr.xuanwu88.com
C198|*t.95303.com*
C229|gweb.519ame.com:8086/XControl/v3/login/*
C230|eagle.hoho666.com/pay/getOrderID*
C231|tysdk.bluecatgame.com/user/*
C233|cls.ug24.youyannet.com/aq2/*
G119|*user-ty.tthw.cc:8081*
C236|h5api.znjoy.com
C237|opensdk.h5ky.com
C250|api.mygm.sdo.com/v1/basic/loginarea*
C251|api.mygm.sdo.com/v1/gchannel/*
C252|mx.center.gztapenjoy.com/phone/*
C253|www.wbkk8.com/Api/Sdk*
C255|login.public.sdk.gzyouai.com/logincheck/check*
C258|api.fsm.96url.com/user/login*
C259|pay.fsm.96url.com*
C260|u9php.hygame.cc/login/loginRequest*
C261|u9php.hygame.cc/payRequest/payRequest*
C262|api-ymsj.guangyv.com/game/Api/login/*
C263|api-ymsj.guangyv.com/game/Api/order/*
C264|api-sx.guangyv.com/v1/login/gyLogin*
C265|api-sx.guangyv.com/v1/order/*
C266|lxcenter.linygame.com/api/login/*
C267|c.insurance.evip8.cn
C270|static.mtrv.cn
C271|tg.swv.cn
C272|tia.taikang.com
C273|t.p5q.cn
C274|121baoxian.guanghua.com
C275|cps.qixin18.com
C276|api.1017sy.cn*
B623|whttv5.tuanyx.com
C279|anfengnew_zf2-loginwan.sbkh5.com:8030*
C282|cls.tt07.qx.bluegames.cn/bqy/*
C283|cls.tt07.qx.bluegames.cn/api/c2s/*
C285|nano-pay-wzjh.vxinyou.com
C286|fusion.shruiwan.com/rw-api-gateway/api*
C287|yqdb.lumokeji.com/sdklogin/*
C288|sdkapi00.sdk.quicksdk.net/v2/users/checkLogin*
C289|yqdb.lumokeji.com/api/order/*
C290|www.lnkdata.com/UrlCenter
C291|js5.yunyoufeitian.com
C292|m.gamecomb.com
C293|pcpay.gamecomb.com/*
C294|mmbiz.qpic.cn/mmbiz_png/01XUXBMOM4*
C296|mmbiz.qpic.cn/mmbiz_png/KicQ8gkr9P*
C297|mmbiz.qpic.cn/mmbiz_png/XHYzVk2g8I*
C298|mmbiz.qpic.cn/mmbiz_png/xXFSMufwnq*
C299|ffw-gjxy-login.gztfgame.com/cocoLogin/getAccount/*
C300|ffw-gjxy-pay.gztfgame.com/api/*
C301|/api.newfusion.waphaha.com/Api/Fusion/Login_V2*
C302|www.19meng.com/api/ly_user/auto_login*
C303|www.19meng.com/api/lyzh/get_order_id*
C304|lord3-kaixin.thunderflash.net/*
C320|mmbiz.qpic.cn/mmbiz_jpg/6iaI9UI6tH7*
C323|mmbiz.qpic.cn/mmbiz_jpg/jW3MNePGibD*
C329|p1.qhimg.com/t0192c0ff423c2b7253.jpg
C331|tvax2.sinaimg.cn/crop.0.0.1242.1242.180/006AYHVcly8fdh6vhr3hdj30yi0yijua.jpg
C332|tvax3.sinaimg.cn/crop.0.1.1125.1125.180/006zyZZ2ly8fl2hf0rdnsj30v90vcdho.jpg
G475|*wvw.9377.cn/api/tj.php*
C335|ad.91sd.com/Ad/ciyuanjianji5
C336|analysis.ppgame.com
C337|api.yile.com
C338|in.bingxuekeji.com
C339|jm.yile.com
C340|ly.adr.transit.gf.ppgame.com
C341|myr.bingxuekeji.com:8980
C342|oss-rescnf.gf.ppgame.com
C343|resource.myrzx.cn
C344|www.youxifan.com
C357|sdk-ns1.jiuyao.yuzhuagame.com/index.php/msdk/pay_order
C358|sdk-ns1.jiuyao.yuzhuagame.com/Wsdk/Tpl/Public/msdk/images/pay*
C360|sdk.sguo.com/api/GetPayConfig
C366|sdk.user.q-dazzle.com/api/check_floatwin_game.php
C367|sdk.user.q-dazzle.com/api/client_ini_switch.php
C368|sdk.user.q-dazzle.com/api/client_notice.php
C370|smqy.leniu.com/*
C371|snnewcenter.shyouai.com/*
C372|source.gznemo.fy.linnyou.com/*
C373|srv_mgr_api.snsy.chuangyunet.com/*
C374|ssxtgm.klmh5.com/*
C377|szjl-cdn.18183g.cn/*
C387|192.168.1.80ol.520qmqj.com:8039/*
C390|37.com.cn/gymc/*
C397|api-fml.gzhemera.com/game.php/Api/order/duokemeng1/*
C398|api-fx3d.guangyv.com/*
C400|api-qjtx-test.guangyv.com/*
C402|api.sdk.qiyutianxia.com/Api/Common/FusionInit
C410|app.kingcheergame.cn/api/third/koala/login*
C411|app.kingcheergame.cn/api/user/v1/*
C413|avatar.t5.q-dazzle.com/cache/*
C416|cb.fs001.sxgame.net/gamenotice_xiyou.php
C417|cdn.eternal.shouyougu.net/yhxyResource/*
C418|cdnlyx.ooroom.com/h5cq/*
C419|center.sy.boyuapp.com/*
C420|center.wqyryqudao.xiyou-g.com:20001/*
C443|cjshmregion.70yx.com/*
C445|cl-qztx-api.ijunhai.com/*
C446|cl-qztx-cdn.ijunhai.com/micro/bt/*
C447|cl-qztx-cdn.ijunhai.com/resource/android/*
C448|cl-qztx-cdn.ijunhai.com/*/update/85/*
C456|cls.cp01.youyannet.com/api/qzw/*
C457|cls.tt02.bluegames.cn/api/qzw/*
C464|dl.binglue.com/apks/tulong*
C465|dl.ewan.cn/AppDownload/*/cqzy_*
C466|dpyh.*.gzfengyou.com/*
C467|fanxian.17btwan.com/*
C480|gate.rx.lcyouxi.net//notice.php
C482|gmnotice.yhxianyu.com:51888/*
C483|h5.game-props.com/pay/*
C484|h5.shcljoy.com/js/main-v5ios.js
C487|hsj-update.szfyhd.com/*/normal_xyqdly_up/*
C565|i.gtimg.cn/open/app_icon/07/98/45/52/*
C568|llwcdn.hlwy.com/*
C569|log.engine.q-dazzle.com/api/sdk.php
C570|log-hsqy.yyxxres.com.cn:7778/*
C574|login.yhxianyu.com:51888/*
C575|m.7724.com/fxj*
C576|manager.gznemo.fy.linnyou.com/*
C578|manager.t8lehai.t8.q-dazzle.com/*
C581|*.mg37.youyannet.com/*
C582|mhcq.ginuu.com/*
C583|mhjcdndl.shouyougu.com/yhxyResource/*
C584|microdown-10027790.file.myqcloud.com/*/datang/*
C586|mmbiz.qpic.cn/*/0B8DkDwXYIk*
C587|mmbiz.qpic.cn/*/JhjbJeUzic*
C588|mmbiz.qpic.cn/mmbiz_jpg/EA8QvNVbTU*
C589|mmbiz.qpic.cn/mmbiz_jpg/NN9XZ3icpqe*
C590|mmbiz.qpic.cn/mmbiz_jpg/Odd1BaL8wJ*
C591|mmbiz.qpic.cn/mmbiz_png/4WouMibLxtyhpnzsgABBtE1YNm4zUm3v0tZxDI5Ws8lGm6xyCPwq9PdHj7sMicXHeCPKqmWgBkRQCWZs1BU25qqg/*
C592|mmbiz.qpic.cn/mmbiz_png/eOtTJLBTu6nrlmc0237BaicjtFx2zHwlRUfWjYHnLS0ZqQWmEgU76Ca87CAicvDwqAaZOhKdacygtTIvsGlryMvg/0
C593|mmbiz.qpic.cn/mmbiz_png/jAYMCflcjCNxnmCEGxGWJF21g6LJptriaTNr8jKSGDjqug37gogD4c4PDkTUFNUubtRtkEr9SEYA6UL9PicWlfmw/0
C594|mmbiz.qpic.cn/mmbiz_png/jpZ0hM9mAP*
C595|mmbiz.qpic.cn/mmbiz_png/MgBpy6R4Px6tF3LibQBRyn8Vtz4Jg7I1uZ8oXzHW7Yyptv2PNtansAoSibLC5VJVhfyLmbxCGYCicGWwFrf9JfbMA/0
C596|mmbiz.qpic.cn/mmbiz_png/MgBpy6R4Px7ibxjLCUfQaFQnkib5plKgdYW75UicDxNRS3kcl7KzHQQrWpx4wtyltUP4ROh9ymKpXSSmnuegVdU3g/0
C597|mmbiz.qpic.cn/mmbiz_png/Odd1BaL8wJ*
C598|mmbiz.qpic.cn/mmbiz_png/Wd2gTvdJTia0E1U89U4tR1DtYWiappQwPljkpZ93C5zZo6voZWwfkQjjpw7TUsBVksy4JAiaMwhjPVY426TK4Bdhw/0
C599|mmbiz.qpic.cn/mmbiz_png/XHfq2ib6icg4*
C600|mmbiz.qpic.cn/*/nBgVTgsLia*
C601|mmbiz.qpic.cn/*/ZiaMlrCPom*
C602|n1.jswl.iossh.rydth5.com/*
C604|newsimg.5054399.com/uploads/170706/_1KS5340.jpg
C605|newsimg.5054399.com/uploads/litimg/180212/101P420H960.jpg
C606|newsimg.5054399.com/uploads/litimg/180630/15251420LJ8.jpg
C609|pay.public.sdk.gzyouai.com/paycheck/create/qyqyj5/qiyu/V1_1
C613|pp.myapp.com/ma_pic2/0/shot_52530435_*
C614|proxyios.twfy.xiyou.fygame.com/*
C615|publish.3456wan.com/api/*
C619|rcdn.lebian.wjqk.ktsdk.com/gameres/trialres/67635/*
C623|res1-ay.cdn.youyantech.com/xxqy/*
C624|res1-ay.cdn.youyantech.com/*/xxqy_yy_a3/*
C625|resbaksybz.q-dazzle.com/jt1/*
C627|res.jhqxz.yx630.com:82/wuxia_jiaqiang/*
C628|ressybz.q-dazzle.com/jt1/android/*
C629|res.yiyun.s12.q-dazzle.com/10000/android/*
C630|res.yiyun.s2.q-dazzle.com/mg02/*
C631|rz-cdn.shxingwan.com/ios/*/MapResource/*
C632|rz-cdn.shxingwan.com/ios/*/Monster/*
C638|update.csgames.net/bwby/*
C641|www.0kyx.com/upload/mxgj/*
C642|wx.qlogo.cn/mmhead/Q3auHgzwzM4Kd5ibfRThSf3zVC4zTGO2beG2Ae2IBpyRibwWapOrzotQ/*
C643|wx.qlogo.cn/mmhead/Q3auHgzwzM6Eiby9ibjiaGKugB5ib3icXHUcp5QwAO7rZRo0Dcr5ib52W6iaQ/0
C644|wzzb.ebibi.com:80/*
C647|xwyaapi.qyj.yyxxgame.com/*
C648|xwyxapi.qyj.yyxxgame.com/*
C649|xy.7717wan.com/page/1478.html
C650|xy.tianxie18.com/page/1449.html
C651|*.ylcq.such-game.com/*
C652|yxyige.com/pay/index.html
C653|zyl.daqingguaji.com/*
C654|zzfx-and-qccdn.mingchaoyouxi.com/*
C656|p1-tt.byteimg.com/video1609/2599f0005ee49e50973ee
C666|sdk.papa91.com/static/h5_game/yyb/images/pay_succeed_icon.png
C668|mmbiz.qpic.cn/mmbiz_png/KtQY51c5m1yLe55VAL6jFITia5ibyO18KRaHWZmhXdRbbnbx6QKjkbwTa6Lcl2Ep6S7b8icmr7zIzB5N9B01gTLlQ/0
C671|lcwsgs328.newyx.jiulingwan.com
C673|rf5l4r2l.*.loveota.com/*
C674|mmbiz.qpic.cn/mmbiz_png/S1Ke8rYicAdq5Gaqicz1u6icpib92IupybHicgQe68wX2LzhwY3Ao8zdaoianNzqDfqm9j0IlsQZg1VuycodMpItG9Wg/0
C675|mmbiz.qpic.cn/mmbiz_png/8UN5xqHRS5*
C679|mmbiz.qpic.cn/mmbiz/j7eEq5qu7Wp7762DsyOO3OSbdql4eG8T5czWtnaNfAIjAAFiacjxcKYlxyuFJMcgBMTReyXVSwSuXoSgiceMS0bQ/*
C686|rolek.2zeda.com/*/inGame.*
C688|d1.eoemarket.com/partner/superlabs/gl/cqsj*
C689|downali.game.uc.cn/s/5/5/*.cqsj*
C692|rxcs.dl.gxpan.cn/mini/junlinchuanqi/*
C699|wx.qlogo.cn/mmhead/Q3auHgzwzM6S5kyHiblcsHISzzA3MTf1vTZ9Ub41QudehQwZvvkIvCA/0
C700|sdk.papa91.com/static/h5_game/yyb/images/arrow_top_title.png
C704|sdk.papa91.com/static/h5_game/yyb/images/enter.gif
C706|apphome.tanwan.com/*
C715|im-htby.hnstyou.cn/*
C717|lcwsresh5.newyx.jiulingwan.com
C722|image.tanwan.com/m/platform*
C729|mmbiz.qpic.cn/*/gy85jVh7nu*
C731|mmbiz.qpic.cn/mmbiz_png/nia7J9VvCZErTj9lZWsMCp7DoMKQVHVIVcxgmLvSd3Db4PZ1KjKe1yb1pveSh6v2Cjb3GnPEy7BnHrVffOlLwrg/*
C732|sdk.papa91.com/third/pay_m2
C734|sdk.papa91.com/static/h5_game/yyb/images/wx_btn_icon.png
C737|apisdk.gaore.com/user/sdk_passport.php
C738|mmbiz.qpic.cn/*/nwvibpticu*
C743|sdk.papa91.com/static/h5_game/yyb/images/close_pay_type_dialog.png
C747|wx.qlogo.cn/mmhead/Q3auHgzwzM7dvKPibiaRLm9cpxHR31tqGhmRWt91Q5G7qH3SDlMCENaQ/0
C750|static.wzcq.xy.com/sycq/android/zhengyou*
C764|image.tanwan.com/jsCommon*
C768|msdk.gaore.com/getUserInfo.php
C771|mmbiz.qpic.cn/mmbiz_png/IaMniaQrSCP2MNO*
C773|freeflow.9game.cn/s/5/5/*.cqsj*
C774|sdk.papa91.com/static/h5_game/yyb/yscq.html
C779|sdk.papa91.com/static/h5_game/yyb/images/pay_fail_icon.png
C781|mmbiz.qpic.cn/mmbiz_png/WreaY8aVUi*
C785|m.tanwan.com/wap*
C786|download.niuboli.com/h5myll/*
C790|cdn.rxgj.6533.com.cn/*
C791|sdk.papa91.com/static/h5_game/yyb/images/zfb_btn_icon.png
C792|downapp.woyaobaoliang.com/tt_lyzs_*
C793|mmbiz.qpic.cn/mmbiz_png/aiabR6luwIzeDZTL9950fzhcbZJywAicOB5l05mQjZAk0jxS4HK8CxIZk9IRfia9p6F5whlvGX8icMSes3w5AibV7Zg/0
C799|sdk.papa91.com/static/h5_game/yyb/images/link_qq_btn.png
C802|mmbiz.qpic.cn/mmbiz_png/byoWB2vLK1*
C803|cdnjs2.lyzbh5.jiulingwan.com
C804|mmbiz.qpic.cn/mmbiz_png/S1Ke8rYicAdq5Gaqicz1u6icpib92IupybHic8Q1ALC2oyGgetM9Tot5XUXQgm0LiaFCnwStGSyCZqaysLC8ALQzKhCw/0
C807|mmbiz.qpic.cn/mmbiz_png/KtQY51c5m1xMjhko8dRvyGnRgFicmf3tbMkibM0YGJUkA4hN3bDv1gccwNCkUzKOALvTUHrOtmHQibB8AYGArq2Ow/0
C808|mmbiz.qpic.cn/mmbiz_png/lauXdJA6wx*
C811|sdk.papa91.com/static/h5_game/yyb/images/kf_btn.png
C815|cdn.dsgl.hulai.com/ios_client/dsgl_ios_online_wkzn329/*
C820|mmbiz.qpic.cn/mmbiz_jpg/ZWoCYcj6YR*
C821|i0k.cn
C822|www.lnkdata.com
C823|cdn.jidjiw.cn
C827|mmbiz.qpic.cn/mmbiz_png/TtMOfEkibX*
C828|mmbiz.qpic.cn/mmbiz_png/87c04GgC78*
C829|mmbiz.qpic.cn/mmbiz_png/eaIyZC3Occ*
C830|mmbiz.qpic.cn/mmbiz_png/yDsmSRC6NQ*
C831|mmbiz.qpic.cn/mmbiz_png/jicapxXyvY*
C832|mmbiz.qpic.cn/mmbiz_png/bbqibOsrxg*
C833|mmbiz.qpic.cn/mmbiz_png/k79AamSgxL*
C834|mmbiz.qpic.cn/mmbiz_png/ILH5883soP*
C835|mmbiz.qpic.cn/mmbiz_png/zLP0vvPf4r*
C836|mmbiz.qpic.cn/mmbiz_png/T7iakZQIEF*
C837|mmbiz.qpic.cn/mmbiz_png/RTLXjXHDO9*
C838|mmbiz.qpic.cn/mmbiz_png/oLGlIeuzBl*
C839|mmbiz.qpic.cn/mmbiz_png/qyqPIcc5S6*
C840|mmbiz.qpic.cn/mmbiz_png/Wcxkrpgy1d*
C841|mmbiz.qpic.cn/mmbiz_png/CtI2xjRhR8*
C842|mmbiz.qpic.cn/mmbiz_png/pprtBtoQHX*
C843|mmbiz.qpic.cn/mmbiz_png/ZxcMkNlt3t*
C844|mmbiz.qpic.cn/mmbiz_png/3ibGvk0gPO*
C845|mmbiz.qpic.cn/sz_mmbiz_png/4uA5yH70m5*
C846|mmbiz.qpic.cn/mmbiz_png/IZrqTZz6Re*
C847|mmbiz.qpic.cn/mmbiz_png/6M10UNKhc0*
C848|mmbiz.qpic.cn/mmbiz_png/nMShmVntHe*
C849|mmbiz.qpic.cn/mmbiz_png/qoVhgcvpZp*
C850|mmbiz.qpic.cn/mmbiz_png/icbLHgggsn*
C851|mmbiz.qpic.cn/mmbiz_png/wIPogeFVzb*
C853|mmbiz.qpic.cn/mmbiz_png/a8wAVKErZB*
C855|mmbiz.qpic.cn/mmbiz_png/0KALH394kU*
C856|mmbiz.qpic.cn/mmbiz_png/nLWOZQdhib*
C857|mmbiz.qpic.cn/mmbiz_png/NXFxclyqX0*
C858|mmbiz.qpic.cn/mmbiz_png/Rdnurj0jZq*
C859|mmbiz.qpic.cn/mmbiz_png/QTaHeujdOg*
C860|mmbiz.qpic.cn/mmbiz_png/rcGX7AGibk*
C873|webappservice.bydauto.com.cn:5011
C877|apigateway.winsgx.com
C879|www.zkydib.com
C880|hd.zkydib.com
C881|m.zkydib.com
C882|s.zkydib.com
C884|api.11f.com/api/v7/user/login*
C886|www.hehesy.com/Cdcloudxx/user/login*
C887|www.hehesy.com/Cdcloudxx/xxpay/*
C888|android-api.ccplay.com.cn/apicenter/v3.user.loginByQq/*
C890|pay.9game.cn
C897|121.41.23.132/app/auroraVerification/auroraOneClickLogin*
C898|121.41.23.132/app/user/placeorder*
C899|sdk.zaoyx.com
C900|92f.com
C907|p5y.cn
C908|sycnzz.17tanwan.com/index.html
C909|sygame.695157.com/wap/4424/cp/index.html
C910|www.gamedog.cn/h5
C911|api.szofk.com/float.php/Mobile/News/p_charge*
C912|www.189sy.com*
C913|h5.haoy666.com*
C914|www.85sy.com/wap/index/index.html*
C915|m.taoshouyou.com
C916|app.pipiwan.com/api/member/login/*
C917|app.pipiwan.com/api/finance/*
C918|abc.5535.cn/GoldBox/user/login*
C919|abc.5535.cn/GoldBox/GbGuest/apppay*
C920|userapi.guopan.cn*
C921|exchange.api.guopan.cn*
C922|www.y8511.cn
C923|api.xiaoxianggame.com/api/v7/user/*
C924|m.xiaoxianggame.com/myapp/dist/*
C925|mmbiz.qpic.cn/mmbiz_png/N2JKibJe4v*
C926|mmbiz.qpic.cn/mmbiz_png/F5Lic1QBic*
C927|mmbiz.qpic.cn/mmbiz_png/UP3XSVfWNA*
C928|baoxian.duxiaoman.com
C929|api.xiaoxianggame.com/api/v7/user/login*
C930|sdk.user.a.hjygame.com/platform/login*
C931|login7.mir600.com:8888
C932|release.tianyuyou.cn
C934|api.center.7you.xyz
C935|pay.allyplay.com:8881
G274|*www.aia.com.cn*
D62|h6s.cn
D64|u8.mengjunvr.com:8080
D65|uosdk.biligame.com
D66|ver.mengjunvr.com
D68|www.focus-eloan.com/hbzc/logging
D69|a.npstdf.cn
D70|a.47xk9.cn/wap
D71|mmbiz.qpic.cn/mmbiz_png/L6UZcy5kN*
D72|bzws.veterangamer.cn
D73|zking.ebaocloud.com.cn
D74|www.gz9130.com
A100|m.taptap.com
A101|m.iyingdi.com
A102|e7j.cn
A103|www.yw515.com
A104|www.985sy.com
A105|sy.xzserach.xyz:81/index.php/dist/api/*
A106|www.5535.cn/Sdkapi2/login/*
A107|sy.xzserach.xyz:81/legendJieko.php/Gm/chongzhi*
A108|www.5535.cn/Sdkapi2/pay/*
A109|mxbt3.center.gztapenjoy.com/phone/*
A110|unitysdkapi.pyw.cn/CommonSdkApi/createOrder*
A111|mmbiz.qpic.cn/mmbiz_png/HGvNmNvKMo*
A112|mmbiz.qpic.cn/mmbiz_png/qb9SzQgOzh*
A113|mmbiz.qpic.cn/mmbiz_png/p8NJzRMhjW*
A114|mmbiz.qpic.cn/mmbiz_png/UOYkwloM7z*
A115|mmbiz.qpic.cn/mmbiz_png/JSZQbCxZic*
A116|mmbiz.qpic.cn/mmbiz_png/7NLiaanXqi*
A118|mmbiz.qpic.cn/mmbiz_png/icGuJiaT4v*
A120|gomelife.com
A121|m-app.gomelife.com
A122|m.gomelife.com
A123|www.gomelife.com
A125|athm.cn
A126|d234.kingcheergame.com/jzXmwx/jzXmwx_test_0003.apk
A127|d5.app.e7788.ltd/marketfront/delivery2/ZYDC/Index1
A129|hemayx.3fangyuan.com
A132|p5q.cn
A133|pcpay.qkagame.com
A136|www.duoyou.com
A137|www.gaore.com
A138|www.liulianhy.com/html/124/246/14356.html
A139|l.ky.mad114.com
A142|a.code.twyxi.com
A144|dm.519397.com
A148|www.5535.cn/Sdkapi2/pay/getDiscount*
A149|api.center.7you.xyz/Api.php/Api/notifyLogin*
A157|bdgame.gdmsact.com/WebServer/order.php/*
A158|sdk.3sanwan.com*
A159|gc.hgame.com/game/*
A160|gc.hgame.com/user/*
A167|risingbeat.focusgames.cn
A168|www.focusgames.cn
A170|mmbiz.qpic.cn/mmbiz_png/BDjG9qVRic*
A171|mmbiz.qpic.cn/mmbiz_png/sHMhicWgO9*
A172|mmbiz.qpic.cn/mmbiz_gif/2WdCIdL0bl*
A173|mmbiz.qpic.cn/mmbiz_png/icbjUicp4K*
A177|mmbiz.qpic.cn/mmbiz_png/sGGNwbORUq*
A178|mmbiz.qpic.cn/mmbiz_png/9YwCHxN0OH*
A181|mmbiz.qpic.cn/sz_mmbiz_png/j3aQUT0*
A182|mmbiz.qpic.cn/mmbiz_png/7fyiaY97b4*
A184|mmbiz.qpic.cn/mmbiz_png/7SxNt4cPZh*
A187|mmbiz.qpic.cn/mmbiz_png/m24ypDEIdL*
A190|mmbiz.qpic.cn/mmbiz_png/nxkibPTpI0*
A193|mmbiz.qpic.cn/mmbiz_png/rrym15o87N*
A198|mmbiz.qpic.cn/mmbiz_png/mTOyFPqrsq*
A199|mmbiz.qpic.cn/mmbiz_png/icVnZytPqN*
A201|mmbiz.qpic.cn/mmbiz_png/cNEpoO6PsH*
A202|mmbiz.qpic.cn/mmbiz_png/aFFKkRia01*
A203|mmbiz.qpic.cn/mmbiz_png/ExlvzaRktZ*
A204|mmbiz.qpic.cn/mmbiz_png/hYp1Ky7iau*
A208|mmbiz.qpic.cn/mmbiz_png/cQYFQp1E66*
A210|mmbiz.qpic.cn/mmbiz_png/N25UQZ3bVQ*
A215|mmbiz.qpic.cn/mmbiz_png/fx9L05k2zL*
A217|mmbiz.qpic.cn/mmbiz_png/iaib2OUwBZ*
A220|mmbiz.qpic.cn/mmbiz_png/1V1SibgmC7*
A221|mmbiz.qpic.cn/mmbiz/d5BbpN96nhwIRa*
A222|mmbiz.qpic.cn/mmbiz_png/tibdlCLcYZ*
A224|mmbiz.qpic.cn/mmbiz_png/yAsjvCKnEo*
A228|mmbiz.qpic.cn/mmbiz_png/X7TkGOHcR1*
A229|mmbiz.qpic.cn/mmbiz_png/Bnjr11Zibr*
A230|4399sy.com/pay
A234|ztgame.com
A235|mmbiz.qpic.cn/mmbiz_png/cnHO3V7ATT*
A237|mmbiz.qpic.cn/mmbiz_png/Q3w0ZDxy9G*
A239|mmbiz.qpic.cn/mmbiz_png/ISuDmNV8WH*
A242|mmbiz.qpic.cn/mmbiz_png/2aIzT2NQ4y*
A243|mmbiz.qpic.cn/mmbiz_png/UxPDuaQg7O*
A244|mmbiz.qpic.cn/mmbiz_png/d2tfK63TrS*
A245|mmbiz.qpic.cn/mmbiz_png/uVl0P5gFAH*
A246|mmbiz.qpic.cn/mmbiz_png/5qd8V5Qia3*
A248|mmbiz.qpic.cn/mmbiz_png/8ynUACp6Ny*
A253|mmbiz.qpic.cn/mmbiz_png/FwZ5Gt2p2c*
A255|mmbiz.qpic.cn/mmbiz_png/OxM4V9qZkK*
A265|mmbiz.qpic.cn/mmbiz_png/ScloC2YXAk*
A266|mmbiz.qpic.cn/mmbiz_png/pFxwob4QL6*
A269|mmbiz.qpic.cn/mmbiz_png/hdQnsPibgS*
A270|mmbiz.qpic.cn/mmbiz_png/5fqKP0CaA6*
A273|mmbiz.qpic.cn/mmbiz_png/ib1aHCRQnY*
A274|mmbiz.qpic.cn/mmbiz_png/nU4GHVYsV0*
A276|mmbiz.qpic.cn/mmbiz_png/3avtPWF7ak*
A277|mmbiz.qpic.cn/mmbiz_png/op8DL1icia*
A280|mmbiz.qpic.cn/mmbiz_png/Vrh3APMicU*
A291|mmbiz.qpic.cn/mmbiz_png/zCVDZJJsic*
A293|mmbiz.qpic.cn/mmbiz_png/m6XqVdG40P*
A294|mmbiz.qpic.cn/mmbiz_png/cia4ILAYBS*
A295|mmbiz.qpic.cn/mmbiz_png/LxWs3uickw*
A296|mmbiz.qpic.cn/mmbiz_png/1xkhGSlf9D*
A298|mmbiz.qpic.cn/mmbiz_png/ueZ32amml2*
A299|u7h.cn
A300|rrd.m
A301|u6.gg
A302|y0.cn
A307|0x6.me
A310|12i.cn
A314|1lt.cn
A317|1nt.cn
A318|2sp.cn
A319|8tb.cn
A322|an0.co
A323|b6v.cn
A324|bk0.cn
A325|dxw.so
A326|f-0.cc
A329|h5y.cn
A331|i5l.cn
A332|lb0.cc
A333|lw0.co
A337|o8f.cn
A338|pyw.cn
A340|r0z.cn
A344|s8.ink
A346|t1n.cn
A348|tb.ink
A349|ts.ink
A352|w3z.cn
A353|w8z.cn
A354|x0e.cn
A355|xf.com
A360|z0j.cn
A362|z9s.cn
A368|0x0.biz
A370|33j.ltd
A371|50h6.cn
A372|6gc.ltd
A375|7re.top
A376|8315.cn
A383|a0a0.cn
A384|b99.fun
A389|c04.top
A390|cutt.ly
A391|cxcc.me
A392|dh3t.cn
A394|du91.cn
A395|duc.pub
A396|dwz.win
A397|e61.xyz
A398|ffv1.cn
A399|g66.ink
A400|h5ip.cn
A402|h9r6.cn
A404|h9x6.cn
A410|jdq8.cn
A416|jlm6.cn
A417|l68j.cn
A420|mixf.cn
A422|n88.ren
A425|oac.fun
A426|oac.pub
A427|oi51.cn
A429|orc.kim
A433|qpo.fun
A434|qr27.cn
A435|qyb.kim
A436|s.mi.cn
A437|sn6z.cn
A439|t71.ltd
A442|ut1.top
A443|v01.ltd
A444|v68.ink
A445|w99.ink
A446|wpmx.cn
A448|xx6.ink
A454|18dwz.cn
A455|1t.click
A458|58ig.net
A460|95jr.com
A461|a.bk0.cn
A467|a.p5q.cn
A468|abu.mobi
A472|aem.mobi
A473|cdy.mobi
A474|cyyhj.cn
A476|cyyho.cn
A477|d.pyw.cn
A478|dmz.mobi
A481|h.p5q.cn
A484|hda.mobi
A486|hkuup.cn
A490|lfcsg.cn
A494|m.qfq.me
A498|ri77t.cn
A500|uif.mobi
A509|uim.mobi
A511|wbsst.cn
A512|wsn.mobi
A513|wtq.mobi
A516|x1618.cn
A517|xhqb.com
A518|yxdwz.cn
A519|zrw.mobi
A521|51gme.com
